Word;Freq_HAL;I_Mean_RT;I_Zscore
affection;1910;695.9;-0.32
affectionate;1171;926.03;0.48
affectionately;258;971.48;0.79
affections;321;790.22;-0.05
affects;6036;656.67;-0.52
afferent;77;1104.62;0.61
affianced;17;884.25;0.43
affidavit;743;925.94;0.7
affidavits;366;953.08;0.65
affiliate;2464;813.34;0.13
affiliated;4536;794.81;-0.07
affiliates;1793;870.3;0.24
affiliation;3018;855.35;0.16
affiliations;1047;753.5;0.02
affinities;90;814.28;0.28
affinity;1254;799.89;0.02
affirm;671;687.81;-0.32
affirmation;868;759.41;-0.13
affirmations;456;767.9;0.09
affirmative;6289;769.69;-0.15
affirmatively;120;897.72;0.52
affirmed;880;759.13;-0.18
affirming;339;743.52;-0.13
affirms;338;773.73;-0.02
affix;179;781.1;-0.02
affixed;281;687.34;-0.26
afflict;120;693.55;-0.11
afflicted;731;781.24;0.02
affliction;392;731.63;-0.2
afflictions;151;817.97;0.13
affluence;188;747.65;-0.16
affluent;648;747.94;-0.1
afford;18642;694.58;-0.24
afforded;840;797.86;0.08
affording;141;781.45;0
affords;395;704.64;-0.12
affricate;5;815.67;0.12
affront;340;756.44;0.18
affronted;37;853.35;0.12
affronting;4;890.68;0.32
afghan;1397;813.19;0.09
afghanistan;1771;967.89;0.54
afghans;274;1036.3;0.58
aficionado;153;776.17;0.21
afield;296;1011.23;0.67
afire;163;819.33;0.29
aflame;81;923.22;0.5
afloat;415;883.92;0.18
afoot;435;786.3;0.16
aforementioned;2971;1128.69;45017
aforesaid;181;964.38;0.78
aforethought;62;1106.19;44986
afoul;208;863.33;-0.09
afraid;23303;599.59;-0.59
africa;17142;683.91;-0.31
african;11473;635.16;-0.43
africans;1565;715.64;-0.27
afro;293;825.79;0.16
aft;934;717.1;-0.1
after;414103;658.06;-0.58
afterbirth;57;806.39;0.12
aftercare;111;1027.48;0.64
aftereffect;36;1446.6;20821
afterglow;180;774.13;0.02
afterlife;729;784.91;0.01
aftermath;1044;664.67;-0.33
afternoon;10525;658.03;-0.42
afternoons;820;742.85;-0.25
afternoon's;85;762.73;-0.22
aftershave;47;766.38;0.09
aftertaste;144;921.66;0.5
afterthought;413;716.53;-0.13
afterward;1813;755.65;-0.02
afterwards;7471;699.97;-0.22
again;249680;577.24;-0.75
against;172615;634.15;-0.58
agamemnon;170;1044.94;0.93
agamemnon's;16;1079.79;0.82
agape;244;861.29;0.36
agar;804;820.33;0.42
agatha;230;908.11;0.35
age;66835;530.91;-0.9
aged;3437;644.45;-0.49
ageless;177;688.06;-0.23
agencies;13501;659.59;-0.37
agency;22870;641.97;-0.58
agenda;9832;739.03;-0.25
agent;22078;626.67;-0.6
agents;14778;631.71;-0.48
agent's;890;646.1;-0.45
ages;17369;679.6;-0.54
aggie;520;801.75;0.13
aggies;302;819.25;0.69
agglomerate;12;1076.67;0.58
agglomeration;62;891.22;0.68
agglutinating;25;1207;11689
agglutination;5;1273;41640
aggrandize;27;1023.43;0.39
aggravate;321;821.08;0
aggravated;793;751.6;-0.1
aggravates;52;925.88;0.53
aggravation;353;839.9;0.13
aggregate;1265;790.19;-0.08
aggregation;316;851.8;0.13
aggregations;77;915.5;0.67
aggression;3010;711;-0.28
aggressions;92;821.91;0.05
aggressive;6889;675.21;-0.37
aggressively;1289;674.59;-0.3
aggressiveness;371;812.75;0.03
aggressor;634;732.84;-0.14
aggrieve;0;837.45;0.17
aggrieved;158;926.65;0.3
aghast;216;693.59;-0.05
agile;631;661.97;-0.24
agilely;5;1091.71;0.91
agility;1228;765.04;0.04
aging;2956;668.12;-0.46
agitate;181;746.07;-0.12
agitated;523;852.48;0.1
agitating;122;809.63;0.23
agitation;806;934.5;0.42
agitator;214;838.96;0.34
agitators;78;988.05;0.75
agleam;0;1375;0.67
aglow;54;709;-0.04
agnes;629;827.7;0.13
agnostic;1021;800.79;0.11
agnostics;257;970.25;0.4
ago;116095;697.8;-0.34
agonies;113;824.1;-0.04
agonize;78;756.9;-0.19
agonized;144;792.57;0.05
agonizes;26;857.67;0.3
agonizing;463;720.78;-0.1
agony;2245;657.88;-0.41
agoraphobia;29;1114.48;0.99
agrarian;397;1054.79;0.77
agree;103383;589.84;-0.71
agreeable;656;767.12;-0.2
agreeableness;4;989.04;0.77
agreeably;52;819.31;0
agreed;21890;664.03;-0.58
agreeing;2270;665.25;-0.43
agreement;23528;668.3;-0.43
agreements;4919;773.12;-0.03
agrees;5544;686.5;-0.41
agricultural;5049;970.21;0.52
agriculturalist;9;995.52;0.87
agriculturally;39;1103.17;45047
agriculture;5462;784.26;0.04
agriculture's;26;873.3;0.49
agriculturist;1;1085.77;0.71
agrippa;95;916.3;0.12
agronomy;178;1144.4;0.96
aground;152;915.53;0.83
ah;22390;829.48;0.07
ahead;25862;722.97;-0.44
ahem;1977;792.63;0.21
ahoy;192;931.5;0.35
aid;18556;580.12;-0.72
aide;1575;707.21;-0.19
aided;1647;671.71;-0.39
aides;671;815;-0.13
aiding;761;796.32;-0.03
aids;22058;616.91;-0.67
ail;233;711.85;-0.23
ailerons;156;1755.5;18660
ailing;286;725.8;-0.14
ailment;287;841.62;0.07
ailments;575;720;-0.07
aim;7900;646.22;-0.56
aimed;7151;669.66;-0.44
aiming;1938;678;-0.38
aimless;148;616.91;-0.56
aimlessly;249;858.33;0.06
aims;2831;635.23;-0.54
ain't;20992;673.28;-0.31
air;81115;589.8;-0.71
airbase;130;766.82;-0.25
airbed;0;717.63;-0.21
airbladder;0;947.43;0.58
airborne;2129;716.72;-0.23
airbrake;22;777.84;0.12
airbus;575;778.37;0.03
aircraft;17225;647.3;-0.41
aircraft's;140;798.55;-0.04
aircrew;126;833.25;0.18
aircushion;0;1006.67;0.79
airdrop;25;832.61;0.1
airdrops;28;888.41;0.14
aired;3088;781.78;-0.15
airfield;498;842.7;0.08
airfields;201;781;-0.1
airflow;417;827.16;-0.02
airforce;376;701.19;-0.32
airframe;440;868.43;0.17
airily;16;877.58;0.3
airless;420;651.84;-0.31
airlift;196;767.16;-0.19
airline;5136;698;-0.34
airliner;341;686.35;-0.25
airlines;6265;611.73;-0.53
airlock;560;686.52;-0.24
airmail;748;672.29;-0.18
airman's;30;939;0.29
airmen;207;702.62;-0.21
airpark;82;886.37;0.44
airplane;4709;673.77;-0.39
airplanes;1699;675.82;-0.48
airport;11859;619.84;-0.59
airports;1688;700.7;-0.38
airs;1597;734.61;-0.19
airshaft;3;818.65;0.08
airship;448;663.52;-0.21
airsick;18;780.55;-0.09
airspace;744;684.36;-0.32
airspeed;601;810;0.12
airstrip;173;954.07;0.43
airstrips;47;900.97;0.45
airtight;366;834.33;0.07
airway;256;640.83;-0.48
airways;913;731.38;-0.25
airy;362;727.79;-0.19
aisle;1388;709.62;-0.23
ajar;149;720.1;-0.19
akin;2436;853.47;0.34
akron;3129;767.25;-0.06
al;70783;686.26;-0.49
alabama;5243;696.35;-0.4
alabamans;6;904.44;0.52
alabaster;1704;805.95;0.34
alamo;1525;750.72;-0.2
alamogordo;86;671.25;0.14
alan;33178;673.65;-0.34
alarm;5599;612.18;-0.55
alarmed;945;573.38;-0.72
alarming;1058;724.58;-0.36
alarmingly;126;893.77;0.31
alarmist;169;794.93;-0.06
alarms;1466;572.66;-0.65
alas;4353;733;-0.08
alaska;6248;537.3;-0.79
albacore;54;894.36;0.53
albania;1749;763;0.01
albanian;2802;811.32;-0.02
albanians;1808;938.52;0.41
albany;3284;742.41;-0.25
albatross;535;818.15;0.29
albeit;3958;782;0.11
albert;10552;620.59;-0.51
albino;860;818.79;0.2
album;39796;580.5;-0.67
albumin;1082;708;-0.36
albums;11973;705;-0.37
alchemist;525;862.67;0.44
alchemy;1069;851.3;0.36
alcohol;14209;668.84;-0.47
alcoholic;1824;670.12;-0.32
alcoholics;993;867.76;0.24
alcoholism;1023;759.12;-0.08
alcohols;139;766.9;-0.08
alcove;264;807.95;0.12
alcoves;58;817.35;0.26
alderman;176;939.47;0.53
aldermen;11;892.15;0.61
ale;4919;698.6;-0.34
alehouse;9;1136.62;1
alert;8982;582.75;-0.7
alerted;637;724.84;-0.3
alerting;332;685.38;-0.35
alertly;13;773.29;0.08
alertness;217;756.22;-0.22
alerts;1097;678.31;-0.42
alex;18548;586.21;-0.69
alexander;15618;698.58;-0.3
alexander's;423;823.59;0.04
alexandria;4994;719.68;-0.12
alexei;933;1035.85;0.59
alexis;1464;704.12;-0.26
alex's;567;651.47;-0.53
alfalfa;448;934.54;0.64
alfonso;725;788.96;0.15
alfred;3504;728.42;-0.18
alfredo;823;811.33;0
alfred's;38;727.24;-0.25
alga;66;873.63;0.11
algae;2276;726.81;-0.03
algaecide;3;1504;32509
algebra;2526;697.39;-0.4
