Word;Freq_HAL;I_Mean_RT;I_Zscore
peat;650;911.31;0.52
pebble;604;735.81;-0.18
pebbles;662;722.94;-0.29
pebbly;18;1147.07;0.8
pecan;179;665.31;-0.27
pecans;120;749.31;-0.12
peck;1067;612.06;-0.64
pecked;67;755.75;-0.25
peckish;21;839.1;0.25
pecks;65;718.52;-0.24
pecs;354;886.79;0.39
pectin;124;1078.78;0.9
pectoral;75;787.42;0.09
pectoralis;19;1014.37;0.95
pectorals;63;852.67;0.03
peculiar;2956;747.14;-0.1
peculiarities;299;996.06;0.76
peculiarity;147;949.34;0.32
peculiarly;176;835.61;0.15
pedagogic;27;857.5;0.7
pedagogical;278;1115.56;45108
pedagogue;16;900.92;0.61
pedagogy;286;1029.33;0.62
pedal;3243;619;-0.51
pedals;2237;687.03;-0.43
pedantic;910;825.67;0.32
peddle;392;742.22;-0.17
peddled;109;733.61;0.02
peddler;101;675.72;-0.31
peddlers;127;767.59;-0.04
pedestal;626;808.77;0.14
pedestrian;764;737.78;-0.22
pedestrians;583;766.76;0.07
pedicure;33;782.12;0
pedigree;858;742.59;-0.21
pedigreed;58;900.29;0.63
pediment;9;798.96;0.3
pedro;3460;774.9;0
pee;3159;700.16;-0.26
peed;411;739.87;-0.06
peek;1954;588.5;-0.52
peekaboo;64;789.62;-0.13
peeked;347;666.94;-0.25
peeking;417;638.97;-0.51
peel;2813;626.27;-0.44
peeled;1151;695.2;-0.2
peeler;127;773.54;-0.06
peeling;560;678.71;-0.33
peels;311;700.06;-0.27
peep;622;626.06;-0.54
peeper;34;686.54;-0.26
peephole;112;826.47;0.03
peeping;207;752.16;-0.14
peer;4088;638.44;-0.57
peered;472;823.11;-0.08
peering;474;756;-0.27
peerless;165;745.9;-0.25
peers;2695;670.78;-0.44
peeve;847;829.4;0.3
peevish;54;692.18;-0.12
peg;1350;610.4;-0.41
pegboard;34;785.48;0.07
pegboards;6;883.2;0.41
pegged;416;701.75;-0.25
pegging;51;745.83;0.06
pegs;577;709.61;-0.29
pejorative;292;786.08;0.64
peking;447;908.64;0.32
pelican;1136;728.97;-0.15
pellet;544;699.55;-0.16
pellets;1129;741.79;-0.05
pelt;387;735.77;-0.19
pelting;57;880.15;0.38
pelts;105;799.91;0.01
pelvic;541;760.18;-0.17
pelvis;1039;712.31;-0.25
pen;7902;610.88;-0.71
penal;1244;752.44;0.09
penalization;3;924.62;0.44
penalize;421;761.24;-0.04
penalized;791;786.76;-0.08
penalties;3584;764.24;-0.1
penalty;9391;657.18;-0.48
penance;344;700.85;-0.24
pence;472;727.61;-0.06
penchant;583;711.39;-0.05
pencil;3021;639.5;-0.6
penciled;114;926.54;0.41
pencils;741;614.7;-0.64
pendant;536;760.06;0.01
pendent;46;753.67;-0.09
pending;6663;674.5;-0.28
pendulous;89;901.25;0.39
pendulum;685;767.29;-0.09
penetrable;11;766;0.03
penetrate;1864;794.12;-0.1
penetrated;835;734.15;-0.1
penetrating;967;842.76;0.19
penetration;2314;832.03;0.09
penguin;2222;717.79;-0.3
penicillin;349;798.71;0.09
peninsula;3232;789.45;-0.12
peninsular;62;856.26;0.52
penis;11136;653.3;-0.55
penitence;27;970;0.48
penitent;78;935.38;0.61
penitentiary;169;1091.2;0.99
penknife;21;912.44;0.53
penmanship;37;1001.45;0.69
pennant;287;752.63;-0.06
pennants;107;815.27;0.17
penned;465;730.75;-0.13
pennies;1362;653.48;-0.5
penniless;180;734.43;-0.07
pennsylvania;11217;868.19;0.29
penny;5204;589.24;-0.67
penny's;115;656.79;-0.46
pennyweight;7;957.37;0.55
pens;1814;580.19;-0.73
pensacola;498;940.78;0.5
pension;2171;677.97;-0.44
pensioner;55;938.73;0.86
pensions;773;756.67;-0.14
pensive;117;728.1;-0.1
pentagon;2011;659.13;-0.44
pentagon's;96;752.27;-0.15
pentagram;925;910.62;0.39
pentameter;29;1060.45;45170
pentathlon;32;841.06;0.76
pentecost;173;783.6;0.03
pentecostal;144;875.54;0.43
penthouse;1038;700.94;-0.26
penultimate;335;888.6;0.94
penurious;5;721;0.06
peon;207;911.25;0.48
peonies;59;855.82;0.31
peony;39;675.23;-0.02
people;768168;540.85;-0.76
peopled;58;833.29;0.16
peoples;11495;619.72;-0.6
people's;18811;640.55;-0.54
pep;864;737.64;-0.05
pepper;5324;661.22;-0.61
peppercorn;24;897.67;0.42
peppered;150;809.79;0.17
peppermint;282;799.94;-0.04
peppermints;15;856.52;0.31
pepperoni;232;850.62;0.12
peppery;27;818.64;0.2
peptic;59;887.82;0.26
peptide;585;971.68;0.54
peptides;274;841.95;-0.08
per;119422;694.26;-0.06
perceive;3388;698.62;-0.31
perceived;4894;728.27;-0.14
perceives;667;869.44;-0.06
perceiving;406;755.47;-0.08
percent;25919;659.56;-0.56
percentage;13238;696.67;-0.32
percentages;1665;800.97;0.06
percentile;486;740.73;0
perceptible;228;837.32;0.26
perception;7178;703.15;-0.21
perceptions;2400;860.64;0.05
perceptive;578;731.27;-0.17
perceptual;804;838.5;0.04
perch;769;704.9;-0.14
perchance;353;870.79;0.14
perched;508;801.46;-0.08
percolate;52;915.47;0.92
percolation;34;1180.33;14246
percolator;21;1036;44958
percussion;2164;819.3;0.32
percussionist;206;1009.3;0.92
percussive;211;810.84;0.45
peremptory;19;1182.44;0.86
perennial;675;812.41;0.15
perfect;41810;661.64;-0.5
perfectability;1;1075.62;0.88
perfected;832;688.63;-0.2
perfectibility;0;1141.89;45108
perfecting;242;837.69;0.06
perfection;2782;733.6;-0.16
perfectionism;58;884;0.58
perfectionist;264;855.48;0.38
perfectionists;46;1027.07;0.79
perfectly;21653;685.97;-0.35
perfidy;59;927.17;0.53
perforate;23;907.4;0.38
perforated;265;928.44;0.54
perforation;105;928.91;0.66
perforations;141;992.15;0.79
perforce;102;736;0.75
perform;24590;706.65;-0.34
performance;73651;752.41;-0.21
performances;5061;777.97;-0.12
performed;21262;739.03;-0.21
performer;3836;703.64;-0.34
performers;3083;800.65;-0.16
performing;9704;772.1;-0.14
performs;4616;830.81;0.03
perfume;1151;658.41;-0.47
perfumed;121;743.97;-0.13
perfumery;9;979.67;0.54
perfumes;191;689.94;-0.37
perfunctorily;8;1065.18;44986
perfunctory;111;856.64;0.29
perfusion;57;954.81;0.48
perhaps;109435;578.82;-0.64
peridontal;7;1104.47;43101
peril;1048;738.26;-0.15
perilous;314;819.04;0.14
perilously;111;923.86;0.47
perils;603;824.52;-0.09
perimeter;938;775.87;0
period;53751;581.78;-0.67
periodic;4909;822.52;-0.02
periodical;942;736.87;0.01
periodically;5095;781.5;-0.14
periodicals;2212;833.64;0.02
periodicity;93;924.96;0.51
periods;8213;639.91;-0.47
peripheral;3038;776.72;-0.01
periphery;451;758.07;0.05
periscope;231;714.52;-0.1
periscopes;14;1005;0.62
perish;1128;638.59;-0.51
perishable;132;785.45;0.03
perished;377;717.42;-0.28
perishes;46;793.42;0.04
perishing;39;759.63;-0.09
periwinkle;85;808.54;0.33
periwinkles;9;966.54;0.77
perjure;30;967.71;0.81
perjury;513;742.68;-0.03
perk;310;657.06;-0.25
perky;353;652;-0.43
perm;8527;689.63;-0.3
permafrost;48;877.9;0.56
permanence;246;937.21;0.44
permanent;30755;697.13;-0.31
permanently;4276;770;-0.16
permeability;188;1089.84;0.89
permeable;110;854.48;0.09
permeate;162;868.24;0.32
permeated;235;848;0.28
permeates;314;998.32;0.86
permeation;32;1031.3;0.96
permissibility;40;1109.79;0.63
permissible;1154;769.97;0
permission;25434;723.77;-0.41
permissive;224;785.35;-0.04
permit;8543;663.74;-0.5
permits;5209;690.09;-0.42
permitted;6594;673.24;-0.36
permitting;1454;727.48;-0.27
permutation;348;1003.05;0.9
permute;41;973.31;0.51
pernicious;350;776.29;0.35
peroxide;594;895.66;0.37
perpendicular;1273;865.55;0.25
perpendicularly;22;1151.85;12055
perpetrate;165;969;0.49
perpetrated;1237;1006.34;0.6
perpetration;41;814.5;0.41
perpetrator;798;945.33;0.44
perpetual;1916;706;-0.18
perpetually;587;809.47;0.22
perpetuate;933;802.29;0.19
perpetuated;426;904.82;0.41
perpetuating;561;825.84;0.32
perpetuation;178;810.54;0.39
perplex;31;708;-0.3
perplexed;524;698.91;-0.27
perplexing;218;787.18;-0.12
perplexity;33;769.69;-0.11
perquisite;8;899.07;0.53
persecute;464;970.57;0.47
persecuted;1342;899.78;0.45
persecution;2689;789.53;0.07
persecutor;52;884.56;0.32
persecutory;7;1019.27;0.78
perseverance;315;921;0.52
persevere;328;894.21;0.2
perseveres;12;855.52;0.21
persia;752;796.61;0.1
persian;2772;742.5;-0.22
persians;426;748;-0.2
persimmon;83;918;0.58
persimmons;26;964.18;0.54
persist;1573;674.38;-0.36
persisted;643;793.45;0.1
persistence;1574;839.69;0.07
persistent;2736;761.38;-0.15
persistently;326;768.1;0.16
persisting;168;787.44;0.22
persists;1193;835.67;0.19
persnickety;31;1091.3;16072
person;167439;614.61;-0.71
persona;2742;831.46;0.22
personable;300;727.53;-0.13
personage;148;832.38;0.24
personages;142;845.39;0.25
personal;108044;676.41;-0.48
personalities;3848;746.6;-0.19
personality;12265;689.82;-0.37
personalization;88;931.42;0.6
personalize;505;882.27;0.03
personalized;1735;712.82;-0.07
personally;45117;713.84;-0.27
personification;149;892.3;0.48
personified;178;861.97;0.13
personifies;63;868.78;0.31
personify;57;817.67;0.16
personifying;48;920.19;0.41
personnel;18978;783.09;-0.15
persons;22283;616.47;-0.6
person's;9107;693;-0.36
perspective;14529;766.55;-0.19
perspectives;2531;972.21;0.41
perspiration;294;837.77;0.2
perspire;42;806.48;0.13
perspired;7;861.68;0.36
perspiring;39;1040.9;0.58
persuade;2463;658.44;-0.39
persuaded;1455;792.81;-0.03
persuaders;82;977.63;0.41
persuading;326;674.15;-0.22
persuasion;1617;831.83;0.07
persuasions;247;902.03;0.21
persuasive;952;828.72;-0.02
persuasively;120;971.37;0.43
pert;334;701.05;-0.11
pertain;897;754.32;0.01
pertained;141;776.76;-0.01
pertaining;3978;798.39;0.05
pertains;924;906.25;0.16
pertinence;33;996.37;0.64
pertinent;3735;895.16;0.38
perturb;43;806.84;0.25
perturbation;171;979.82;0.63
perturbations;211;952.76;0.87
perturbed;262;855.25;0.48
peru;4781;647.56;-0.42
perusal;465;782.64;0.49
peruse;631;892.18;0.35
perusing;390;752.85;0.28
peruvian;1302;894.17;0.54
pervade;87;728.86;0.01
pervaded;108;828.04;0.23
pervades;228;955.84;0.57
pervading;90;949.71;0.43
pervasion;3;800.69;0.21
pervasive;896;858.27;0.09
pervasively;37;918.79;0.45
perverse;1116;727.43;-0.06
perversely;94;956.83;0.57
perversion;749;868.73;0.34
perversity;139;916.35;0.55
pervert;1300;724.35;-0.19
perverted;1306;801.27;0.06
pesky;1120;788.19;0.1
peso;2329;937.12;0.47
pessimism;250;988.74;0.59
pessimist;426;887.4;0.25
pessimistic;742;845.12;0.23
pessimists;96;860.45;0.16
pest;1075;658.91;-0.51
pester;239;760.21;-0.02
pestering;351;748.46;0.01
pesticide;775;833.19;0.17
pesticides;1073;773.71;0.01
pestilence;2209;841.43;0.5
pestilent;11;930.74;0.48
pestilential;15;1129;16438
pestle;69;847;0.24
pests;627;637.39;-0.53
pet;14817;616.53;-0.68
petal;195;648.55;-0.39
petals;548;686.32;-0.4
pete;13906;579.24;-0.66
peter;66538;651.1;-0.61
petered;91;1070.3;0.92
peter's;1139;706.24;-0.39
pete's;678;639.53;-0.51
petit;865;923.5;0.27
petite;1041;655.35;-0.4
petition;10168;720.35;-0.22
petitioned;256;812.21;0.14
petitioner;266;742.27;-0.01
petitioner's;41;833.19;0.5
petitions;807;766.88;-0.19
petrified;286;834.19;0.22
petrify;26;884.93;0.29
petrol;890;825.04;0.08
petroleum;3273;794.15;0.04
pets;4867;583.06;-0.61
petted;343;744.28;-0.01
petticoat;95;828.09;0.27
pettiness;94;869.52;0.42
pettinesses;0;955.96;0.57
petting;462;788.06;-0.15
petty;4357;660.97;-0.41
petulance;36;938.32;0.64
petulant;143;779.37;0.05
petunia;57;911.3;0.53
pew;276;776.68;-0.16
pews;116;657.85;-0.2
pewter;358;775.5;-0.04
peyote;386;612.88;-0.14
phagocyte;5;1303.6;45139
phalanges;5;938.14;0.55
phalanx;2263;944.07;0.54
phallic;362;812.08;0.11
phallus;365;930.67;0.47
phantasmagoric;10;925.78;0.7
phantasmic;4;900.42;0.52
phantom;8107;730.31;-0.22
pharaoh;477;772.83;-0.02
pharisee;166;1090.89;0.58
pharmaceutical;2480;920.66;0.52
pharmacist;758;731.94;-0.22
pharmacological;305;1087.24;0.98
pharmacology;1253;1067.86;0.75
pharmacy;2097;661.76;-0.36
pharyngitis;13;857.5;0.96
pharynx;17;831.09;0.22
phase;16742;617;-0.65
phases;2942;652.15;-0.42
pheasant;291;823.79;0.09
pheasants;136;713.76;-0.03
phenol;222;940.43;0.72
phenomena;5280;774.48;0
phenomenal;1256;933.29;0.31
phenomenological;133;1087.88;0.76
phenomenon;6786;674.76;-0.34
phew;466;817.06;0.14
phi;3082;836.74;0.2
phil;20084;634.81;-0.4
philadelphia;12335;701.32;-0.23
philadelphia's;65;849.47;0.26
philander;38;785.06;0.35
philanthropic;84;1008.96;0.73
philanthropies;6;1131.68;0.92
philanthropist;75;923.03;0.55
philanthropy;100;958.68;0.58
philharmonic;642;927.8;0.6
philip;11045;714.27;-0.29
philippine;1052;768.62;0.21
philippines;3253;751.54;0
philistine;116;882.86;0.16
philological;69;900.58;0.57
philologists;32;1214.8;16803
philosopher;2223;738.45;-0.23
philosophers;1743;804.65;0.02
philosophic;301;1017.96;0.66
philosophical;4959;836.71;0.07
philosophically;454;997.86;0.57
philosophies;1734;899.96;0.51
philosophize;31;1004.22;0.65
philosophized;6;908.04;0.51
philosophizing;78;1092.54;44927
philosophy;19790;708.97;-0.32
phil's;591;633.64;-0.47
phlegm;153;815.95;0.23
phlegmatic;20;1032.21;0.82
phobia;348;664.26;-0.47
phobic;152;727.1;-0.09
phoenix;15367;596.19;-0.58
phone;141619;509.53;-0.8
phonebooth;11;792.48;0.03
phonecall;45;736.75;-0.09
phoned;817;705.43;-0.27
phoneme;177;1085.08;0.94
phonemes;243;928.43;0.31
phonemic;98;909.68;0.58
phonemics;1;837.86;0.23
phones;4048;635.43;-0.54
phonetic;977;856.92;0.2
phonetics;225;892.84;0.19
phoney;423;785.52;-0.05
phonic;61;693.17;-0.25
phonics;238;786.8;-0.09
phonies;68;778.77;0.06
phonograph;382;854.86;0.17
phonographs;187;1004.09;0.76
phonologic;0;934.05;0.88
phonological;67;907.55;0.57
phonology;127;965.86;0.56
phony;1531;710.47;-0.26
phooey;114;897.13;0.5
phosphate;634;823.63;0.05
phosphates;205;851.27;0.02
phosphide;13;1028.58;0.87
phosphor;337;995.82;42005
phosphoresce;3;1239.3;14246
phosphorescence;9;972.71;45078
phosphorescent;51;1045.53;0.91
phosphorous;111;810.07;0.15
phosphorus;435;810.27;0.16
photo;13910;561.91;-0.78
photocathode;14;1755.5;45262
photocathodes;5;1233.86;0.98
photochemical;104;1093.48;0.99
photocopier;154;856.43;0.27
photocopy;1341;738.47;-0.15
photoelectric;62;1147.08;43466
photoelectronic;3;1273.26;46388
photoelectrons;4;1205.1;11689
photoflash;25;982.96;0.44
photogenic;86;934;0.45
photograph;2714;683.82;-0.32
photographed;850;901.76;0.24
photographer;2794;843.91;0.02
photographers;1630;810.73;0.12
photographic;2305;824.94;0.13
photographically;52;956.9;0.78
photographing;394;826.84;0.11
photographs;5529;665.12;-0.37
photography;5263;737.91;-0.22
photoluminescence;2;1274;31048
photon;3844;726.32;-0.13
photorealism;74;1097.82;12055
photos;14926;557.03;-0.7
photosensitive;27;1128.29;44562
photosynthesis;406;795.67;0.2
phrase;12897;610.79;-0.65
phrasebook;161;921.32;0.45
phrased;735;699.25;-0.29
phraseology;143;1155.29;11324
phrases;3528;667.79;-0.55
phrasing;898;779.22;-0.08
phrenology;66;882.77;0.71
phyla;48;957.43;0.32
phyllis;1347;813;0.18
phylum;77;909.44;0.2
physical;44223;654.34;-0.52
physically;9272;664.63;-0.43
physicalness;3;1111.61;0.83
physician;4205;710.42;-0.25
physicians;3617;750.5;-0.15
physician's;547;706.73;-0.3
physicist;3270;783.73;0
physicists;1865;796.59;0.09
physics;29221;745.55;-0.24
physiognomy;31;1010.33;0.79
physiologic;111;1079.74;45017
physiological;1609;1045.36;0.77
physiologically;185;1183.27;0.99
physiologist;172;969.22;0.7
physiology;2330;886.57;0.43
physiotherapist;25;1120.33;43101
physiotherapy;64;1055.82;45231
physique;472;804.71;0.03
pi;5980;712.8;0.07
pianist;904;783.71;-0.13
pianists;336;803.59;0.11
pianist's;33;796.75;0.26
piano;9273;560.84;-0.75
pianoforte;26;1357;20821
pianos;544;732.94;-0.19
piazza;1392;864.31;0.61
piazzas;4;859.93;0.58
pica;123;752.17;-0.14
picasso;1263;716.35;-0.37
picasso's;36;799.85;-0.04
piccolo;822;1012.17;0.63
pick;45297;535.03;-0.87
pickaxe;43;882.33;0.58
picked;20151;597.09;-0.6
picker;459;644.88;-0.43
pickers;168;735.93;-0.16
picket;850;771.8;-0.1
picketed;72;831.09;0.27
picketing;175;711.15;-0.08
pickets;110;710;-0.25
picking;8684;717.65;-0.4
pickle;979;679.19;-0.6
pickled;287;699.81;-0.38
pickles;504;643.39;-0.47
pickoff;6;834.27;0.17
pickoffs;3;766.86;0.03
pickpocket;59;732.15;-0.1
picks;6748;625.76;-0.64
pickup;4527;601.62;-0.6
picky;2130;614.34;-0.59
picnic;1374;677.48;-0.43
picnicked;1;1012.89;0.88
picnickers;6;1143.81;43101
picnics;152;701.79;-0.18
pictorial;796;761.35;-0.03
pictorially;40;945.2;0.76
picture;46520;541.52;-0.69
pictured;960;684.23;-0.35
pictures;34996;679.15;-0.44
picturesque;289;981.86;0.58
picturing;232;780.69;-0.04
piddle;81;924.19;0.4
piddling;97;921.63;0.61
pidgin;239;862.33;0.9
pie;4935;580.71;-0.69
piece;46129;620.09;-0.63
piecemeal;267;998.59;0.71
pieces;25065;738.97;-0.32
piecewise;71;931.42;0.64
piecework;40;751.03;0.13
piecrust;3;876.26;0.17
pied;240;790.57;-0.11
pier;1150;789.22;-0.03
pierce;4989;677.11;-0.28
pierced;1610;628.53;-0.54
piercing;7012;701.68;-0.35
pierre;4535;712.52;-0.25
piers;960;743.38;-0.15
pies;718;664.91;-0.48
piety;2247;846.11;0.14
piezoelectric;90;853.75;46753
piezoelectricity;4;760;0.42
pig;6375;583.42;-0.64
pigeon;900;669.71;-0.48
pigeonhole;98;949.36;0.81
pigeons;640;673.42;-0.36
piggish;40;813.96;0.18
piggy;656;714.09;-0.28
piggyback;210;833.67;0.16
piggybank;13;851.03;-0.05
pigheaded;74;800.84;0.07
piglet;846;747.97;-0.11
pigment;921;636.45;-0.48
pigmentation;224;1052.19;0.7
pigmented;92;788.21;-0.03
pigments;333;690.79;-0.4
pigpen;87;841.94;0.18
pigpens;0;857.68;0.25
pigs;4274;596.53;-0.64
pigskin;101;752.9;-0.23
pigsty;23;911.47;0.63
pigtail;96;729.03;-0.28
pigwash;0;952.24;0.57
pike;2432;651.52;-0.34
pilaf;55;858.84;0.12
pile;5666;576.84;-0.71
piled;717;669.3;-0.33
piles;1534;709.38;-0.4
pilfer;46;864.93;0.08
pilfering;20;913.2;0.46
pilgrim;663;766.56;-0.21
pilgrimage;504;938.63;0.44
pilgrimages;52;878.4;0.38
pilgrims;419;684.42;-0.31
pilgrim's;70;683;-0.32
piling;427;783.74;-0.23
pill;2805;667.36;-0.5
pillage;372;740.15;0.11
pillaged;106;836.47;0.45
pillager;2;837.82;0.34
pillar;1562;741.97;-0.12
pillared;5;841.9;0.2
pillars;1121;688.55;-0.23
pillbox;105;660.88;-0.45
pillow;2110;601.26;-0.62
pillowcase;54;720.4;-0.23
pillows;975;656.58;-0.39
pills;2580;646.68;-0.7
pilot;16024;573.77;-0.81
piloting;375;846.58;0.15
pilots;5967;663.03;-0.29
pilot's;619;606.94;-0.69
pimento;30;866.39;0.31
pimp;988;715.22;-0.38
pimple;216;687.94;-0.34
pimpled;14;777.1;0.12
pimples;131;745.81;-0.36
pimplike;0;985.32;0.95
pimply;90;892.24;0.36
pimps;212;683.12;-0.34
pin;24742;596.69;-0.74
pinafore;41;910.27;0.61
pinafores;1;1001;0.9
pinball;4652;666.78;-0.56
pincer;73;875.73;0.4
pinch;1992;663.73;-0.49
pinched;675;606.8;-0.54
pinching;569;687.81;-0.3
pincushion;86;1002.56;0.61
pine;7920;686.71;-0.45
pineal;162;963.5;0.58
pineapple;637;742.57;-0.29
pinecone;118;987.71;0.57
pines;974;665.64;-0.4
pinewood;118;650.1;-0.49
ping;5115;716.7;-0.25
pinging;417;879.7;0.32
pingpong;26;713.61;-0.13
pinhead;840;650.71;-0.34
pinholes;56;836;0.14
pinioned;35;847;0.62
pink;13066;568.82;-0.74
pinkie;66;884.39;0.21
pinking;16;787.14;0.06
pinks;199;625.48;-0.57
pinnacle;6683;741.72;-0.15
pinnacles;112;774.57;0.11
pinned;1391;698.91;-0.36
pinning;560;715.22;-0.01
pinnings;3;775.15;0
pinochle;65;928.18;0.95
pinpoint;851;702.11;-0.17
pinpointing;53;857.24;0.46
pinpoints;57;815.84;0.19
pinprick;16;940.2;0.44
pins;7569;643.38;-0.68
pinscher;92;1116.2;0.95
pinstripe;80;832.36;0.19
pint;1470;648.97;-0.25
pinta;88;885.17;0.38
pinto;873;787.33;0.04
pinup;102;772.08;0.18
pinwheel;51;811.74;-0.03
pioneer;4620;685.06;-0.46
pioneered;665;680.22;-0.33
pioneering;706;822.47;0
pioneers;999;702.77;-0.4
pioneer's;101;687.97;-0.24
pious;690;748.77;-0.03
piously;34;917.61;0.31
pip;844;724.5;-0.23
pipe;12205;671.48;-0.44
piped;525;727.91;-0.2
pipedream;34;1025.63;0.81
pipedreams;17;884.69;0.55
pipeline;4156;748.85;-0.21
pipelines;561;717.39;-0.2
piper;2255;640.74;-0.48
pipers;329;708.74;-0.28
pipes;5055;626.26;-0.65
pipette;30;708.83;-0.19
piping;1084;771.15;-0.02
pipsqueak;40;892.05;0.69
piquancy;9;865.2;0.65
piquant;34;912.45;0.79
pique;218;870.65;0.42
piracy;1955;921.88;0.3
piranha;654;934.75;0.33
pirate;6292;695.06;-0.43
pirates;3396;635.06;-0.5
pirouette;51;834.44;0.32
pisces;614;721.81;-0.11
pish;48;940.33;0.14
piss;6979;672.81;-0.46
pistachio;110;821.72;0.14
pistil;19;852;0.43
pistol;4683;599.3;-0.62
pistols;1613;669.06;-0.38
piston;1113;832.14;0.21
pistons;783;821.47;-0.06
pit;15282;606.91;-0.61
pitch;8752;614.18;-0.57
pitched;1652;592.18;-0.56
pitcher;1571;597.94;-0.63
pitchers;916;643.34;-0.34
pitches;1058;630.25;-0.45
pitchfork;144;689.59;-0.31
pitching;1347;673.74;-0.4
piteous;28;824.21;0.26
pitfall;848;698.32;-0.4
pitfalls;1031;774.78;-0.14
pith;113;697.43;-0.23
pithy;362;769.53;0.38
pitiable;61;827;0.82
pitied;97;836.08;0.18
pitiful;1505;793.53;0.01
pitiless;37;814.7;0.09
pitilessly;11;1092.19;0.66
pits;2072;685.87;-0.44
pittance;241;653.44;-0.09
pittsburgh;10047;690.66;-0.3
pittsburghers;10;1038;0.69
pituitary;246;907.79;0.26
pity;4908;633.31;-0.57
pityingly;2;1022.82;45017
pivot;1065;769.35;-0.07
pivotal;518;843.64;0.18
pivoting;150;836.21;0.1
pixels;6023;686.04;-0.09
pixie;1255;683.4;-0.29
pixies;2173;709.57;-0.33
pixilated;27;950.64;0.46
pizarro;79;796.62;0.2
pizza;5507;559.39;-0.75
pizzeria;87;813.46;0.01
pizzicato;88;1021.75;0.91
placard;114;850;0.08
placate;222;792.38;-0.01
placating;25;887.14;0.42
place;195199;588.84;-0.71
placebo;1114;697.25;-0.36
placed;27615;669.66;-0.51
placeless;3;763.4;-0.02
placement;10692;649.21;-0.42
placenta;3830;815.67;-0.01
places;47580;604.68;-0.71
placid;420;682.67;-0.19
placing;9529;623.87;-0.48
plagiarism;473;795.56;-0.07
plagiarist;56;988.89;0.46
plagiarize;93;780.21;0.15
plague;4699;665.79;-0.37
plagued;893;709.97;-0.29
plaid;777;680.39;-0.35
plaids;42;742.35;-0.01
plain;23526;529.42;-0.88
plainclothes;64;924.7;0.43
plainest;20;870.61;0.32
plainly;1777;697.29;-0.3
plains;4149;613.34;-0.67
plainspoken;6;944.04;0.37
plaintiff;1655;677.45;-0.25
plaintiffs;1613;877.38;0.21
plaintiff's;267;786.1;-0.03
plaintive;127;990.8;0.69
plan;63172;601.15;-0.77
planar;2438;1169.5;0.47
plane;18677;643.94;-0.57
planed;194;725.95;-0.16
planeload;12;928;0.68
planer;329;799.83;0.09
planes;7916;589.47;-0.77
planet;26589;594.68;-0.75
planetarium;874;779.57;-0.02
planetary;3582;867.59;0.25
planetoid;84;1231.38;44562
planetoids;41;1019.14;0.74
planets;7932;651.44;-0.51
planet's;597;594.25;-0.64
plank;595;740.03;-0.13
planking;56;879.57;0.65
planks;322;723.39;-0.16
plankton;133;831.48;0.15
planned;13957;673.1;-0.41
planner;1840;622.38;-0.63
planners;2208;660.55;-0.46
planning;32800;646.15;-0.52
plans;31000;560.91;-0.82
plan's;66;700.03;-0.35
plant;25225;576.79;-0.75
plantain;31;769.5;0.11
plantation;977;751.41;-0.05
plantations;518;745.71;-0.07
planted;3033;697.62;-0.46
planter;173;688.03;-0.37
planters;160;618.61;-0.49
planting;1392;624.77;-0.43
plants;17049;561.03;-0.8
plant's;211;786.36;-0.18
plaque;951;671.64;-0.44
plaques;311;792.3;-0.09
plasm;278;685.85;-0.13
plasma;5618;696.47;-0.35
plaster;737;662.66;-0.48
plasterboard;10;815.78;0.21
plastered;523;759.74;-0.14
plasterer;2;963.54;0.53
plastering;58;799.63;-0.03
plasters;22;707.23;-0.3
plastic;26405;596.38;-0.67
plastically;11;822.86;0.18
plasticity;164;781.57;0.04
plastics;1439;668.32;-0.43
plate;10419;663.33;-0.52
plateau;3592;688.07;-0.23
plated;674;680.03;-0.3
plateful;46;828.95;0.11
plates;5243;658.55;-0.37
platform;24499;658.97;-0.43
platforms;18210;728.44;-0.12
platinum;3511;743.34;-0.28
platitude;66;887.3;0.22
plato;1898;626.35;-0.67
platonic;471;766.19;-0.16
platoon;622;720.2;-0.19
platoons;101;798.79;0.04
plato's;469;620.97;-0.55
platter;936;690.06;-0.35
platters;315;638.9;-0.31
platypus;193;839.39;0.42
plausible;2796;704.42;-0.28
play;149546;537.91;-0.96
playable;2829;748.42;-0.28
playback;3007;626.32;-0.58
playbacks;17;635.06;-0.43
playbill;114;712.29;-0.33
playboy;2930;653.97;-0.58
played;66128;580.85;-0.66
player;58218;535.47;-0.85
players;60398;560.94;-0.69
player's;2966;562.45;-0.71
playfellow;0;878.36;0.38
playful;1020;630.22;-0.58
playground;1360;619.12;-0.55
playgroup;45;738.94;-0.28
playhouse;515;679.41;-0.48
playhouses;10;792.58;0.06
playing;73055;596.97;-0.69
playmate;532;695.59;-0.38
playmates;973;640.09;-0.42
playoff;2901;712.03;-0.32
playpen;181;781.64;-0.03
playroom;209;599.75;-0.58
plays;19267;628.12;-0.64
play's;88;636.33;-0.43
playsuit;6;841.3;0.06
plaything;112;836.24;0.08
playtime;197;621.19;-0.71
playwright;373;666.35;-0.27
playwrights;146;727.4;-0.01
playwriting;27;758.37;0.03
plaza;5750;609.85;-0.52
plazas;74;745.5;-0.12
plea;1986;664.13;-0.5
plead;1026;624.33;-0.43
pleaded;931;682.47;-0.34
pleader;2;873.87;0.04
pleading;1255;716.09;-0.31
pleads;233;808.43;-0.1
pleas;1183;733.05;-0.16
